ID,Name,Fat (g),Protein (g),Carbohydrate (g)
168716,Beef Short Loin Porterhouse Steak Separable Lean And Fat Trimmed To 1/8 Inch Fat Choice Cooked Grilled,19.78,24.85,0
168717,Beef Short Loin T-Bone Steak Separable Lean And Fat Trimmed To 1/8 Inch Fat Choice Raw,15.83,20,0
168718,Beef Short Loin Top Loin Steak Separable Lean And Fat Trimmed To 1/8 Inch Fat Choice Cooked Grilled,18.45,26.16,0
168719,Beef Loin Top Loin Separable Lean And Fat Trimmed To 1/8 Inch Fat Select Raw,15.04,20.59,0
168720,Beef Loin Top Loin Separable Lean And Fat Trimmed To 1/8 Inch Fat Select Cooked Grilled,15.11,26.72,0
168721,Beef Short Loin Top Loin Steak Separable Lean And Fat Trimmed To 1/8 Inch Fat Prime Raw,22.17,19,0
168722,Beef Tenderloin Steak Separable Lean And Fat Trimmed To 1/8 Inch Fat Choice Cooked Broiled,17.78,26.43,0
168723,Beef Tenderloin Roast Separable Lean And Fat Trimmed To 1/8 Inch Fat Choice Cooked Roasted,25.39,23.9,0
168724,Beef Tenderloin Steak Separable Lean And Fat Trimmed To 1/8 Inch Fat Select Raw,18.46,19.37,0
168725,Beef Tenderloin Steak Separable Lean And Fat Trimmed To 1/8 Inch Fat Select Cooked Broiled,16.53,26.48,0
168726,Beef Top Sirloin Steak Separable Lean And Fat Trimmed To 1/8 Inch Fat All Grades Raw,12.71,20.3,0
168727,Beef Top Sirloin Steak Separable Lean And Fat Trimmed To 1/8 Inch Fat All Grades Cooked Broiled,14.23,26.96,0
168728,Beef Top Sirloin Steak Separable Lean And Fat Trimmed To 1/8 Inch Fat Choice Raw,14.28,19.92,0
168729,Beef Top Sirloin Steak Separable Lean And Fat Trimmed To 1/8 Inch Fat Choice Cooked Broiled,15.75,26.8,0
168730,Beef Chuck Clod Roast Separable Lean Only Trimmed To 0 Inch Fat Select Cooked Roasted,5.82,28.09,0
168731,Beef Shoulder Steak Boneless Separable Lean Only Trimmed To 0 Inch Fat Choice Cooked Grilled,6.25,28.54,0
168732,Beef Shoulder Steak Boneless Separable Lean Only Trimmed To 0 Inch Fat Select Cooked Grilled,5.17,28.71,0
168733,Beef Flank Steak Separable Lean And Fat Trimmed To 0 Inch Fat All Grades Cooked Broiled,8.23,27.66,0
168734,Beef Bottom Sirloin Tri-Tip Roast Separable Lean And Fat Trimmed To 0 Inch Fat All Grades Raw,8.55,20.64,0
168735,Beef Bottom Sirloin Tri-Tip Roast Separable Lean And Fat Trimmed To 0 Inch Fat Choice Cooked Roasted,12.36,25.66,0
168736,Beef Bottom Sirloin Tri-Tip Roast Separable Lean And Fat Trimmed To 0 Inch Fat Choice Raw,9.51,20.64,0
168737,Beef Bottom Sirloin Tri-Tip Roast Separable Lean And Fat Trimmed To 0 Inch Fat Select Cooked Roasted,9.78,26.44,0
168738,Beef Chuck Top Blade Separable Lean Only Trimmed To 0 Inch Fat Choice Cooked Broiled,11.65,26.11,0
168739,Beef Chuck Top Blade Separable Lean Only Trimmed To 0 Inch Fat Select Cooked Broiled,8,26.16,0
168740,Beef Round Top Round Steak Boneless Separable Lean And Fat Trimmed To 0 Inch Fat Choice Cooked Grilled,4.62,30.12,0
168741,Beef Round Top Round Steak Boneless Separable Lean And Fat Trimmed To 0 Inch Fat Select Cooked Grilled,3.85,29.7,0
168742,Beef Chuck Eye Roast Boneless Americas Beef Roast Separable Lean Only Trimmed To 0 Inch Fat Select Raw,5.71,20.52,0
168743,Beef Brisket Flat Half Boneless Separable Lean And Fat Trimmed To 0 Inch Fat Choice Raw,9.86,20.15,0
168744,Beef Plate Inside Skirt Steak Separable Lean Only Trimmed To 0 Inch Fat All Grades Cooked Broiled,10.06,26.66,0
168745,Beef Plate Outside Skirt Steak Separable Lean Only Trimmed To 0 Inch Fat All Grades Cooked Broiled,14.37,24.18,0
168746,Beer,0,0.46,3.55
168747,Budweiser Beer,0,0.36,2.97
168748,Alcoholic Beverage Beer Light Budweiser Select,0,0.2,0.87
168749,Light Beer,0,0.24,1.64
168750,Alcoholic Beverage Pina Colada Canned,7.6,0.6,27.6
168751,Sweetened Vanilla Almond Milk,1.04,0.42,6.59
168752,Alcoholic Beverage Pina Colada Prepared-From-Recipe,1.88,0.42,22.66
168753,Tequila Sunrise,0.1,0.3,11.3
168754,Milk Chocolate With Almonds,34.4,9,53.4
168755,Milk Chocolate With Rice Cereal,29.37,7.64,59.67
168756,Mars Snackfood Us Milky Way Bar,17.23,4.01,71.17
168757,Hersheys Skor Toffee Bar,30.37,3.13,63.73
168758,Toppings Strawberry,0.1,0.2,66.3
168759,Mounds Candy Bar,26.6,4.6,58.88
168760,Mr. Goodbar Chocolate Bar,33.21,10.22,54.34
168761,Nestle 100 Grand Bar,19.33,2.5,70.97
168762,Nestle Crunch Bar And Dessert Topping,26,5,67
168763,Reeses Peanut Butter Cups,30.53,10.24,55.36
168764,Reeses Pieces Candy,24.77,12.46,59.86
168765,Rolo Caramels In Milk Chocolate,20.93,5.08,67.95
168766,Nestle After Eight Mints,11.9,1.67,79.53
168767,Mars Snackfood Us 3 Musketeers Bar,12.75,2.6,77.77
168768,Mars Snackfood Us Twix Caramel Cookie Bars,24.85,4.91,64.8
168769,Mars Snackfood Us Twix Peanut Butter Cookie Bars,32.67,9.18,54.14
168770,Whatchamacallit Candy Bar,23.68,8.04,63.23
168771,Chewing Gum,0.3,0,96.7
168772,Egg Custards Dry Mix,6.4,6.9,82.8
168773,Egg Custards Dry Mix Prepared With Whole Milk,4,3.99,17.6
168774,Cocoa Dry Powder Unsweetened Hersheys European Style Cocoa,10,20,60
168775,Gelatin Desserts Dry Mix,0,7.8,90.5
168776,York Bites,7.32,1.78,81.64
168777,Chocolate Mousse,16,4.14,16.07
168778,Puddings Chocolate Ready-To-Eat,4.6,2.09,23.01
168779,Puddings Chocolate Dry Mix Instant,1.9,2.3,87.9
168780,Puddings Chocolate Dry Mix Regular Prepared With 2% Milk,2.06,3.28,19.76
168781,Puddings Coconut Cream Dry Mix Instant Prepared With 2% Milk,2.3,2.9,19.2
168782,Puddings Rice Ready-To-Eat,2.15,3.23,18.39
168783,Puddings Rice Dry Mix,0.1,2.7,91.2
168784,Puddings Vanilla Dry Mix Instant,0.6,0,92.9
168785,Puddings Vanilla Dry Mix Instant Prepared With Whole Milk,2.9,2.7,19.7
168786,Puddings Lemon Dry Mix Instant Prepared With 2% Milk,1.71,2.76,20.2
168787,Egg Custards Dry Mix Prepared With 2% Milk,2.83,4.13,17.61
168788,Puddings Vanilla Dry Mix Regular Prepared With 2% Milk,1.73,2.94,18.53
168789,Rennin Chocolate Dry Mix Prepared With 2% Milk,2.06,3.24,13.47
168790,Rennin Vanilla Dry Mix Prepared With 2% Milk,1.77,3.06,12.34
168791,Praline Prepared-From-Recipe,25.9,3.3,59.59
168792,Desserts Rennin Vanilla Dry Mix,0,0,99
168793,Rennin Vanilla Dry Mix Prepared With Whole Milk,3.07,3.03,12.21
168794,Desserts Rennin Tablets Unsweetened,0.1,1,19.8
168795,Frostings Chocolate Creamy Ready-To-Eat,17.6,1.1,63.2
168796,Flan Caramel Custard Dry Mix Prepared With Whole Milk,3,2.95,18.68
168797,Puddings Vanilla Ready-To-Eat Fat Free,0,2.02,20.16
168798,Puddings Tapioca Ready-To-Eat Fat Free,0.35,1.44,21.31
168799,Puddings Chocolate Ready-To-Eat Fat Free,0.3,1.93,20.87
168800,Frostings Chocolate Creamy Dry Mix Prepared With Butter,13.06,1.11,71.8
168801,Heath Bites,30.38,3.94,63.39
168802,Frostings Vanilla Creamy Dry Mix,4.9,0.3,93.8
168803,Frostings White Fluffy Dry Mix,0,2.3,94.9
168804,Mars Snackfood Us Dove Milk Chocolate,31.72,5.94,59.78
168805,Mars Snackfood Us Dove Dark Chocolate,32.45,5.19,59.4
168806,Mars Snackfood Us Milky Way Caramels Milk Chocolate Covered,19.17,4.28,68.49
168807,Mars Snackfood Us Milky Way Caramels. Dark Chocolate Covered,20.42,3.82,67.56
168808,Snacks General Mills Betty Crocker Fruit Roll Ups Berry Flavored With Vitamin C,3.5,0.1,85.2
168809,Ice Creams Chocolate,11,3.8,28.2
168810,Ice Creams Strawberry,8.4,3.2,27.6
168811,Snacks Farley Candy Farley Fruit Snacks With Vitamins A C And E,0,4.4,80.9
168812,Frozen Novelties Ice Type Italian Restaurant-Prepared,0.02,0.03,13.5
168813,Frozen Novelties Ice Type Pop,0.24,0,19.23
168814,Mars Snackfood Us M&Ms Crispy Chocolate,19.32,4.28,72.4
168815,Frozen Yogurts Vanilla Soft-Serve,5.6,4,24.2
168816,Fruit Butters Apple,0.3,0.39,42.47
168817,Fudge Chocolate Marshmallow With Nuts Prepared-By-Recipe,21.11,3.24,67.69
168818,Mars Snackfood Us Snickers Almond Bar,22.4,5.4,64.67
168819,Marmalade Orange,0,0.3,66.3
168820,Molasses,0.1,0,74.73
168821,Pectin Unsweetened Dry Mix,0.3,0.3,90.4
168822,Pie Fillings Apple Canned,0.1,0.1,26.1
168823,Mars Snackfood Us Starburst Fruit Chews Tropical Fruits,8.31,0.41,82.76
168824,Pie Fillings Canned Cherry,0.07,0.37,28
168825,Puddings Banana Dry Mix Regular Prepared With Whole Milk,2.89,2.74,18.44
168826,Puddings Coconut Cream Dry Mix Instant,10,0.9,83.5
168827,Puddings Coconut Cream Dry Mix Instant Prepared With Whole Milk,3.5,2.9,19.1
168828,Puddings Coconut Cream Dry Mix Regular,11.36,1,81.84
168829,Puddings Coconut Cream Dry Mix Regular Prepared With Whole Milk,3.8,3,17.7
168830,Puddings Lemon Dry Mix Instant Prepared With Whole Milk,2.9,2.7,20.1
168831,Puddings Lemon Dry Mix Regular,0.5,0.1,91.8
168832,Pudding Lemon Dry Mix Regular Prepared With Sugar Egg Yolk And Water,1.12,0.65,24.2
168833,Sugars Brown,0,0.12,98.09
168834,Syrups Chocolate Hersheys Genuine Chocolate Flavored Lite Syrup,0.97,1.4,34.56
168835,Syrups Chocolate Fudge-Type,8.9,4.6,62.9
168836,Syrups Corn Dark,0,0,77.59
168837,Syrups Corn Light,0.2,0,76.79
168838,Syrups Table Blends Pancake With 2% Maple,0.1,0,69.6
168839,Syrups Table Blends Corn Refiner And Sugar,0,0,83.9
168840,Mars Snackfood Us Skittles Wild Berry Bite Size,4.25,0.19,90.76
168841,Toppings Butterscotch Or Caramel,0,1.21,57.01
168842,Mars Snackfood Us Skittles Sours Original,4,0.18,91.02
168843,Mars Snackfood Us Skittles Original Bite Size,4.37,0.19,90.78
168844,Frostings Vanilla Creamy Dry Mix Prepared With Margarine,12.74,0.34,74.28
168845,Frostings Chocolate Creamy Dry Mix Prepared With Margarine,12.87,1.1,71.02
168846,Divinity Prepared-From-Recipe,0.06,1.32,89.05
168847,Frozen Novelties Ice Type Pineapple-Coconut,2.6,0,23.9
168848,Frozen Yogurts Chocolate Soft-Serve,6,4,24.9
168849,Snacks Banana Chips,33.6,2.3,58.4
168850,Snacks Beef Sticks Smoked,49.6,21.5,5.4
168851,Snacks Pork Skins Barbecue-Flavor,31.8,57.9,1.6
168852,Frostings Glaze Chocolate Prepared-From-Recipe With Butter Nfsmi Recipe No. C-32,7.17,1.42,72.18
168853,Snack Potato Chips Made From Dried Potatoes Plain,35.28,4.62,55.38
168854,Snacks Potato Sticks,34.4,6.7,53.3
168855,Snacks Rice Cakes Brown Rice Rye,3.8,8.1,79.9
168856,Snacks Sesame Sticks Wheat-Based Salted,36.7,10.9,46.5
168857,Snacks Corn Cakes,2.4,8.1,83.4
168858,Snacks Tortilla Chips Nacho-Flavor Reduced Fat,15.2,8.7,71.6
168859,Tortilla Chips Low Fat Baked Without Fat,5.7,11,80.2
168860,Cheese Puffs And Twists Corn Based Baked Low Fat,12.1,8.5,72.35
168861,Snacks Granola Bar Fruit-Filled Nonfat,0.9,5.9,77.6
168862,Snacks Kelloggs Nutri-Grain Cereal Bars Fruit,8.67,4.22,67.61
168863,Snacks Tortilla Chips Low Fat Made With Olestra Nacho Cheese,3.53,8.44,65.22
168864,Snacks Potato Chips Made From Dried Potatoes Fat-Free Made With Olestra,0.93,5.06,56
168865,Snacks Taro Chips,24.9,2.3,68.1
168866,Puddings Banana Dry Mix Instant With Added Oil,4.4,0,89
168867,Cornmeal Degermed Enriched Yellow,1.75,7.11,79.45
168868,Cornmeal Yellow Self-Rising Bolted Plain Enriched,3.4,8.28,70.28
168869,Cornmeal Yellow Self-Rising Bolted With Wheat Flour Added Enriched,2.85,8.41,73.43
168870,Cornmeal Yellow Self-Rising Degermed Enriched,1.72,8.41,74.79
168871,Cooked Millet,1,3.51,23.67
168872,Oat Bran,7.03,17.3,66.22
168873,Cooked Oat Bran,0.86,3.21,11.44
168874,Quinoa Uncooked,6.07,14.12,64.16
168875,Cooked Brown Rice,0.83,2.32,23.51
168876,Rice Brown Parboiled Dry Uncle Bens,2.75,7.6,78.68
168877,Rice White Long-Grain Regular Raw Enriched,0.66,7.13,79.95
168878,White Rice,0.28,2.69,28.17
168879,Rice White Medium-Grain Raw Enriched,0.58,6.61,79.34
168880,Medium Grain White Rice,0.21,2.38,28.59
168881,Rice White Short-Grain Enriched Uncooked,0.52,6.5,79.15
168882,Rice White Short-Grain Enriched Cooked,0.19,2.36,28.73
168883,Rice White Glutinous Unenriched Uncooked,0.55,6.81,81.68
168884,Rye Grain,1.63,10.34,75.86
168885,Rye Flour Dark,2.22,15.91,68.63
168886,Rye Flour Medium,1.52,10.88,75.43
168887,Rye Flour Light,1.33,9.82,76.68
168888,Triticale Flour Whole-Grain,1.81,13.18,73.14
168889,Wheat Hard Red Spring,1.92,15.4,68.03
168890,Wheat Hard Red Winter,1.54,12.61,71.18
168891,Wheat Soft Red Winter,1.56,10.35,74.24
168892,Wheat Germ Crude,9.72,23.15,51.8
168893,Wheat Flour Whole-Grain,2.5,13.21,71.97
168894,Wheat Flour White All-Purpose Enriched Bleached,0.98,10.33,76.31
168895,Wheat Flour White All-Purpose Self-Rising Enriched,0.97,9.89,74.22
168896,Wheat Flour White Bread Enriched,1.66,11.98,72.53
168897,Cooked Wild Rice,0.34,3.99,21.34
168898,Rice Flour Brown,2.78,7.23,76.48
168899,Pasta Gluten-Free Corn Dry,2.08,7.46,79.26
168900,Gluten Free Corn Noodles (Cooked),0.73,2.63,27.91
168901,Pasta Homemade Made With Egg Cooked,1.74,5.28,23.54
168902,Pasta Homemade Made Without Egg Cooked,0.98,4.37,25.12
168903,Macaroni Vegetable Enriched Dry,1.04,13.14,74.88
168904,Macaroni Vegetable Enriched Cooked,0.11,4.53,26.61
168905,Noodles Chinese Chow Mein,21.24,10.88,63.64
168906,Noodles Japanese Soba Dry,0.71,14.38,74.62
168907,Japanese Soba Noodles (Buckwheat),0.1,5.06,21.44
168908,Noodles Japanese Somen Dry,0.81,11.35,74.1
168909,Cooked Japanese Somen,0.18,4,27.54
168910,Whole Wheat Pasta,1.71,5.99,30.07
168911,Spaghetti Spinach Dry,1.57,13.35,74.81
168912,Spaghetti Spinach Cooked,0.63,4.58,26.15
168913,Wheat Flours Bread Unenriched,1.66,11.98,72.53
168914,Rice Noodles (Cooked),0.2,1.79,24.01
168915,Pasta Whole Grain 51% Whole Wheat Remaining Unenriched Semolina Dry,2.68,13.51,73.1
168916,Pasta Whole Grain 51% Whole Wheat Remaining Unenriched Semolina Cooked,1.5,5.82,31.51
168917,Quinoa Cooked,1.92,4.4,21.3
168918,Cooked Teff,0.65,3.87,19.86
168919,Noodles Egg Cooked Enriched With Added Salt,2.07,4.54,25.16
168920,Corn Grain White,4.74,9.42,74.26
168921,Corn Flour Whole-Grain Blue (Harina De Maiz Morado),5.09,8.75,73.89
168922,Cornmeal Degermed Enriched White,1.75,7.11,79.45
168923,Cornmeal White Self-Rising Bolted Plain Enriched,3.4,8.28,70.28
168924,Cornmeal White Self-Rising Bolted With Wheat Flour Added Enriched,2.85,8.41,73.43
168925,Cornmeal White Self-Rising Degermed Enriched,1.72,8.41,74.79
168926,Noodles Egg Unenriched Cooked Without Added Salt,2.07,4.54,25.16
168927,Pasta Dry Unenriched,1.51,13.04,74.67
168928,Cooked Pasta (Unenriched),0.93,5.8,30.86
168929,Cornmeal Degermed Unenriched Yellow,1.75,7.11,79.45
168930,Rice White Medium-Grain Cooked Unenriched,0.21,2.38,28.59
168931,Rice White Short-Grain Raw Unenriched,0.52,6.5,79.15
168932,Rice White Short-Grain Cooked Unenriched,0.19,2.36,28.73
168933,Semolina Unenriched,1.05,12.68,72.83
168934,Spaghetti Protein-Fortified Cooked Enriched (N X 6.25),0.21,8.86,30.88
168935,Rice White Long-Grain Regular Cooked Unenriched With Salt,0.28,2.69,28.17
168936,Wheat Flour White All-Purpose Enriched Unbleached,0.98,10.33,76.31
168937,Spaghetti Protein-Fortified Dry Enriched (N X 6.25),2.23,21.78,65.65
168938,Wheat Flour White (Industrial) 10% Protein Unbleached Enriched,1.48,9.71,76.22
168939,Wheat Flour White (Industrial) 11.5% Protein Bleached Enriched,1.45,11.5,73.81
168940,Wheat Flour White (Industrial) 11.5% Protein Bleached Unenriched,1.45,11.5,73.81
168941,Wheat Flour White (Industrial) 11.5% Protein Unbleached Enriched,1.45,11.5,73.81
168942,Wheat Flour White (Industrial) 13% Protein Bleached Enriched,1.38,13.07,72.2
168943,Whole Grain Sorghum Flour,3.34,8.43,76.64
168944,Wheat Flour Whole-Grain Soft Wheat,1.95,9.61,74.48
168945,Potatoes Yellow Fleshed Hash Brown Shredded Salt Added In Processing Frozen Unprepared,0.07,2.04,17.98
168946,Potatoes French Fried Wedge Cut Frozen Unprepared,7.47,2.56,22.22
168947,Potatoes French Fried Steak Cut Salt Not Added In Processing Frozen Unprepared,3.42,2.4,24.31
168948,Potatoes French Fried Cross Cut Frozen Unprepared,10,2.7,22.95
168949,Rice And Vermicelli Mix Beef Flavor Unprepared,1.27,10.84,76.02
168950,Rice And Vermicelli Mix Beef Flavor Prepared With 80% Margarine,3.2,2.82,22.03
168951,Rice And Vermicelli Mix Rice Pilaf Flavor Unprepared,1.37,10.42,76.31
168952,Rice And Vermicelli Mix Rice Pilaf Flavor Prepared With 80% Margarine,3.7,2.94,25.67
168953,Pasta Mix Classic Cheeseburger Macaroni Unprepared,1.88,11.6,71.51
168954,Pasta Mix Classic Beef Unprepared,1.78,12.32,72.2
168955,Pasta Mix Italian Lasagna Unprepared,1.97,10.9,73.77
168956,Yellow Rice With Seasoning Dry Packet Mix Unprepared,1.75,7.02,74.68
168957,Pizza Rolls Frozen Unprepared,9.98,8.73,50.72
168958,Pasta Mix Italian Four Cheese Lasagna Unprepared,2.7,12.53,70.26
168959,Spanish Rice Mix Dry Mix Unprepared,1.62,10.62,76.45
168960,Lasagna Cheese Frozen Unprepared,4.22,5.06,21.61
168961,Chicken Thighs Frozen Breaded Reheated,22.45,18.66,14.23
168962,Turnover Meat- And Cheese-Filled Tomato-Based Sauce Reduced Fat Frozen,5.51,9.45,31.89
168963,Turnover Filled With Egg Meat And Cheese Frozen,12.6,7.87,20.67
168964,Rice Mix White And Wild Flavored Unprepared,2.57,3.49,26.28
168965,Salisbury Steak With Gravy Frozen,10.47,6.98,6.78
168966,Infant Formula Mead Johnson Enfamil Premium Newborn Powder,27,10.7,57.6
168967,Infant Formula Mead Johnson Enfamil Premium Lipil Infant Powder,27,10.8,57
168968,Infant Formula Mead Johnson Enfamil Premium Lipil Infant Liquid Concentrate Not Reconstituted,6.83,2.73,14.42
168969,Infant Formula Mead Johnson Enfamil Premium Infant Liquid Concentrate Not Reconstituted,7.1,2.72,14.34
168970,Infant Formula Mead Johnson Enfamil Enfagrow Gentlease Toddler Lipil Powder,26,12.9,53.5
168971,Infant Formula Abbott Nutrition Similac Go And Grow Powder With Ara And Dha,27.65,15.36,52.2
168972,Infant Formula Gerber Good Start 2 Soy With Iron Powder,25.6,12.5,55.6
168973,Infant Formula Mead Johnson Enfamil Nutramigen Aa Lipil Powder Not Reconstituted,26,13.9,55.68
168974,Infant Formula Mead Johnson Enfamil Premature 20 Calories Ready-To-Feed Low Iron,3.34,1.97,7.21
168975,Babyfood Rice Cereal Dry Earths Best Organic Whole Grain Fortified Only With Iron,4.9,7.5,78.06
168976,Agutuk Fish/berry With Seal Oil (Alaskan Ice Cream) (Alaska Native),31.8,3.4,13.4
168977,Agutuk Meat-Caribou (Alaskan Ice Cream) (Alaska Native),18.6,21.7,0.9
168978,Ascidians (Tunughnak) (Alaska Native),0.5,3.8,0
168979,Whale Beluga Flipper Raw (Alaska Native),21.7,19,0
168980,Whale Beluga Liver Raw (Alaska Native),3.9,18.4,2
168981,Oil Beluga Whale (Alaska Native),100,0,0
168982,Blackberries Wild Raw (Alaska Native),1.07,0.84,9.84
168983,Caribou Liver Raw (Alaska Native),3.9,15,6.8
168984,Stew/soup Caribou (Alaska Native),0.7,3.8,4.8
168985,Caribou Tongue Raw (Alaska Native),22.8,13.7,0
168986,Chiton Leathery Gumboots (Alaska Native),1.6,17.1,0
168987,Fish Devilfish Meat (Alaska Native),5.3,11.7,0
168988,Fireweed Young Leaves Raw (Alaska Native),0.8,3,6.3
168989,Fish Herring Eggs On Giant Kelp Pacific (Alaska Native),0.8,11.3,2.6
168990,Fish Herring Eggs Pacific Dry (Alaska Native),6.6,60.4,2.8
168991,Stew Moose (Alaska Native),0.5,6.6,6
168992,Agave Cooked (Southwest),0.29,0.99,32
168993,Agave Dried (Southwest),0.69,1.71,81.98
168994,Cattail Narrow Leaf Shoots (Northern Plains Indians),0,1.18,5.14
168995,Lambsquarters Raw (Northern Plains Indians),0.28,4.21,6.96
168996,Prairie Turnips Boiled (Northern Plains Indians),0.32,1.64,29.99
168997,Raspberries Wild (Northern Plains Indians),0.28,1.12,13.85
168998,Rose Hips,0.34,1.6,38.22
168999,Chokecherries Raw Pitted (Northern Plains Indians),1.69,3.04,33.62
169000,Sea Lion Steller Liver (Alaska Native),5,22.9,0
169001,Sea Lion Steller Kidney (Alaska Native),1.7,18.1,1.4
169002,Sea Lion Steller Heart (Alaska Native),3.3,17,1
169003,Sea Lion Steller Meat (Alaska Native),1.88,25.85,0
169004,Piki Bread Made From Blue Cornmeal (Hopi),7.16,9.06,72.22
169005,Wocas Tuber Cooked Oregon Yellow Pond Lily (Klamath),0.35,0.69,7.06
169006,Stew Pinto Bean And Hominy Badufsuki (Hopi),0.54,1.42,5.38
169007,Tamales Masa And Pork Filling (Hopi),4.7,13.19,18.28
169008,Applebees Double Crunch Shrimp,18.9,12.31,25.96
169009,Applebees French Fries,13.17,3.31,39.5
169010,Applebees Kraft Macaroni & Cheese From Kids Menu,4.34,5.01,21.08
169011,Applebees Mozzarella Sticks,18.37,14.87,22.87
169012,Applebees Chicken Tenders From Kids Menu,16.15,19.25,18.36
169013,TGI Fridays Chicken Fingers From Kids Menu,20.78,18.11,17.72
169014,TGI Fridays Classic Sirloin Steak (10 Oz),7.83,31.02,0.47
169015,Restaurant Family Style Fried Mozzarella Sticks,18.33,14.75,25.14
169016,Restaurant Family Style Sirloin Steak,8.48,29.8,0
169017,Applebees Fish Hand Battered,9.14,13.23,16.65
169018,Applebees Chili,9.79,12.56,4.57
169019,TGI Fridays Chicken Fingers,20.31,18.68,16.84
169020,Applebees Coleslaw,7.09,0.79,13.17
169021,Cracker Barrel Onion Rings Thick-Cut,16,4.78,40.95
169022,Dennys Chicken Strips,14.5,19.17,22.03
169023,Dennys Coleslaw,15.03,0.97,10.88
169024,Dennys Fish Fillet Battered Or Breaded Fried,12.16,13.75,17.41
169025,Dennys Hash Browns,8.99,2.49,26.59
169026,Restaurant Family Style Coleslaw,11.78,0.88,12.35
169027,Restaurant Family Style Onion Rings,19.28,4.89,40.72
169028,Restaurant Family Style Chili With Meat And Beans,9.79,12.56,4.57
169029,Restaurant Family Style Spaghetti And Meatballs,8.52,7.84,15.51
169030,Carrabbas Italian Grill Lasagne,11.06,10.48,12.36
169031,On The Border Mexican Rice,4.86,3.56,34.15
169032,On The Border Refried Beans,5,7.3,17.52
169033,Restaurant Italian Spaghetti With Pomodoro Sauce (No Meat),1.89,3.9,17.77
169034,On The Border Cheese Quesadilla,25.5,16.87,24.25
169035,Restaurant Mexican Cheese Quesadilla,23.08,15.93,24.11
169036,Carrabbas Italian Grill Cheese Ravioli With Marinara Sauce,6,7.96,17.62
169037,Olive Garden Cheese Ravioli With Marinara Sauce,5.61,7.44,19.64
169038,Restaurant Italian Cheese Ravioli With Marinara Sauce,5.7,7.07,18.5
169039,Frosted Oat Cereal With Marshmallows,3.33,7.1,84.7
169040,Weetabix Whole Grain Cereal,2.86,11.43,81.5
169041,Post Great Grains Raisin Date & Pecan,7.1,7.9,74.3
169042,Babyfood Juice Apple-Sweet Potato,0.1,0.3,11.4
169043,Babyfood Juice Orange-Carrot,0.1,0.5,9.9
169044,Orange Juice Drink,0,0.2,13.41
169045,Gums Seed Gums (Includes Locust Bean Guar),0.5,4.6,77.3
169046,Snacks Potato Chips White Restructured Baked,18.2,5,71.4
169047,Babyfood Baked Product Finger Snacks Cereal Fortified,9.9,6.4,76.68
169048,Babyfood Cereal Brown Rice Dry Instant,3,8.7,85.98
169049,Babyfood Green Beans And Turkey Strained,1.5,4.1,5.35
169050,Cheese Muenster Low Fat,17.6,24.7,3.5
169051,Mozzarella Cheese (Non-Fat Or Fat Free),0,31.7,3.5
169052,Margarine-Like Butter-Margarine Blend 80% Fat Stick Without Salt,80.7,0.9,0.6
169053,Margarine-Like Vegetable Oil-Butter Spread Reduced Calorie Tub With Salt,50,1,1
169054,Babyfood Dinner Chicken And Rice,0.9,1.6,9.2
169055,Salad Dressing Caesar Dressing Regular,57.85,2.17,3.3
169056,Coleslaw Salad Dressing,34.53,0.85,22.4
169057,Salad Dressing Green Goddess Regular,43.33,1.9,7.36
169058,Jams And Preserves No Sugar (With Sodium Saccharin) Any Flavor,0.3,0.3,53.42
169059,Chocolate Covered Caramel With Nuts,21,9.5,60.67
169060,Nougat With Almonds,1.67,3.33,92.39
169061,Gum Drops No Sugar Or Low Calorie (Sorbitol),0.2,0,88.1
169062,Pie Fillings Cherry Low Calorie,0.16,0.82,11.98
169063,Breakfast Bars Oats Sugar Raisins Coconut (Include Granola Bar),17.6,9.8,66.7
169064,Soft Pretzels (Salted),3.1,8.2,69.39
169065,Beans Chili Barbecue Ranch Style Cooked,1,5,16.9
169066,Luncheon Slices Meatless,11.11,17.78,4.44
169067,Meatballs Meatless,9,21,8
169068,Vegetarian Fillets,18,23,9
169069,Sandwich Spread Meatless,9,8,9
169070,Alcoholic Beverage Wine Cooking,0,0.5,6.3
169071,Alcoholic Beverage Wine Light,0,0.07,1.17
169072,Sweeteners Tabletop Saccharin (Sodium Saccharin),0,0.94,89.11
169073,Beverage Instant Breakfast Powder Chocolate Not Reconstituted,1.4,19.9,66.2
169074,Tomato Sauce Canned No Salt Added,0.3,1.2,5.31
169075,Alpen,3.3,11.2,75.7
169076,Familia,6.3,9.5,73.8
169077,Wheat And Bran Presweetened With Nuts And Fruits,5.6,7.1,76.2
169078,Cheese Cottage With Vegetables,4.2,10.9,3
169079,Cheese Cream Low Fat,16.67,7.85,6.73
169080,Cheese Pasteurized Process American Low Fat,7,24.6,3.5
169081,Cheese Spread Cream Cheese Base,28.6,7.1,3.5
169082,Pork Oriental Style Dehydrated,62.4,11.8,1.4
169083,Soybean Curd Cheese,8.1,12.5,6.9
169084,Potatoes Canned Drained Solids No Salt Added,0.2,1.4,13.6
169085,Vegetables Mixed (Corn Lima Beans Peas Green Beans Carrots) Canned No Salt Added,0.2,1.4,7.31
169086,Litchis,0.44,0.83,16.53
169087,Dried Litchis,1.2,3.8,70.7
169088,Loganberries (Frozen),0.31,1.52,13.02
169089,Longans,0.1,1.31,15.14
