ID,Name,Fat (g),Protein (g),Carbohydrate (g)
167827,Pork Fresh Loin Center Loin (Chops) Bone-In Separable Lean And Fat Cooked Broiled,11.06,25.61,0
167828,Pork Fresh Loin Center Loin (Roasts) Bone-In Separable Lean And Fat Cooked Roasted,12.8,27.01,0
167829,Pork Fresh Loin Center Loin (Chops) Bone-In Separable Lean Only Raw,3.71,21.99,0
167830,Pork Fresh Loin Center Rib (Chops) Bone-In Separable Lean And Fat Cooked Braised,16.28,26.66,0
167831,Pork Fresh Loin Center Rib (Chops) Bone-In Separable Lean And Fat Cooked Broiled,13.04,24.42,0
167832,Pork Fresh Loin Center Rib (Roasts) Bone-In Separable Lean And Fat Cooked Roasted,14.68,26.99,0
167833,Pork Fresh Loin Center Rib (Chops Or Roasts) Bone-In Separable Lean Only Raw,4.8,21.79,0
167834,Pork Fresh Loin Sirloin (Chops) Bone-In Separable Lean And Fat Cooked Braised,12.31,28.81,0
167835,Pork Fresh Loin Sirloin (Chops) Bone-In Separable Lean And Fat Cooked Broiled,11.82,26.96,0
167836,Pork Fresh Loin Sirloin (Roasts) Bone-In Separable Lean And Fat Cooked Roasted,12.87,26.64,0
167837,Pork Fresh Loin Sirloin (Chops Or Roasts) Bone-In Separable Lean Only Raw,4.02,21.65,0
167838,Pork Chops (Lean),6.9,31,0
167839,Pork Fresh Loin Top Loin (Chops) Boneless Separable Lean And Fat Raw,6.94,21.55,0
167840,Pork Fresh Loin Top Loin (Chops) Boneless Separable Lean And Fat Cooked Braised,8.31,29.2,0
167841,Pork Fresh Loin Top Loin (Chops) Boneless Separable Lean And Fat Cooked Broiled,9.14,26.62,0
167842,Pork Fresh Loin Top Loin (Roasts) Boneless Separable Lean And Fat Cooked Roasted,8.82,26.45,0
167843,Pork Fresh Shoulder Whole Separable Lean And Fat Raw,17.99,17.18,0
167844,Pork Fresh Shoulder Whole Separable Lean And Fat Cooked Roasted,21.39,23.28,0
167845,Pork Fresh Shoulder Whole Separable Lean Only Raw,7.14,19.55,0
167846,Pork Fresh Shoulder Whole Separable Lean Only Cooked Roasted,13.54,25.33,0
167847,Pork Fresh Shoulder Arm Picnic Separable Lean Only Cooked Braised,8.87,26.76,0
167848,Pork Fresh Shoulder Arm Picnic Separable Lean Only Cooked Roasted,12.62,26.68,0
167849,Pork Fresh Shoulder (Boston Butt) Blade (Steaks) Separable Lean And Fat Raw,12.36,17.42,0
167850,Pork Fresh Shoulder (Boston Butt) Blade (Steaks) Separable Lean And Fat Cooked Braised,17.69,25.07,0
167851,Boston Steak (Pork),16.61,25.58,0
167852,Pork Fresh Shoulder Blade Boston (Roasts) Separable Lean Only Cooked Roasted,14.3,24.21,0
167853,Pork Fresh Spareribs Separable Lean And Fat Raw,23.4,15.47,0
167854,Pork Spare Ribs,30.3,29.06,0
167855,Pork Fresh Composite Of Trimmed Retail Cuts (Leg Loin And Shoulder) Separable Lean Only Cooked,9.21,27.51,0
167856,Pork Fresh Variety Meats And By-Products Chitterlings Cooked Simmered,20.32,12.49,0
167857,Pork Fresh Variety Meats And By-Products Ears Frozen Raw,15.1,22.45,0.6
167858,Pork Fresh Variety Meats And By-Products Ears Frozen Cooked Simmered,10.8,15.95,0.2
167859,Pork Fresh Variety Meats And By-Products Feet Raw,12.59,23.16,0
167860,Pork Fresh Variety Meats And By-Products Kidneys Cooked Braised,4.7,25.4,0
167861,Pork Fresh Variety Meats And By-Products Leaf Fat Raw,94.16,1.76,0
167862,Pork Fresh Variety Meats And By-Products Liver Raw,3.65,21.39,2.47
167863,Pork Fresh Variety Meats And By-Products Liver Cooked Braised,4.4,26.02,3.76
167864,Pork Fresh Variety Meats And By-Products Lungs Raw,2.72,14.08,0
167865,Pork Fresh Variety Meats And By-Products Spleen Raw,2.59,17.86,0
167866,Pork Fresh Variety Meats And By-Products Spleen Cooked Braised,3.2,28.2,0
167867,Pork Fresh Variety Meats And By-Products Stomach Raw,10.14,16.85,0
167868,Pork Fresh Loin Blade (Chops) Bone-In Separable Lean Only Cooked Pan-Fried,12.14,26.38,0
167869,Canadian Bacon (Raw),2.62,20.31,1.34
167870,Pork Cured Feet Pickled,10.02,11.63,0.01
167871,Lean Cured Ham,5.53,20.93,1.5
167872,Low Fat Cured Ham,9.02,22.62,0
167873,Pork Cured Ham Patties Unheated,28.19,12.78,1.69
167874,Pork Cured Ham Steak Boneless Extra Lean Unheated,4.25,19.56,0
167875,Pork Cured Ham Whole Separable Lean And Fat Unheated,18.52,18.49,0.06
167876,Pork Cured Ham Whole Separable Lean Only Unheated,5.71,22.32,0.05
167877,Pork Cured Separable Fat (From Ham And Arm Picnic) Unheated,61.41,5.68,0.09
167878,Pork Cured Separable Fat (From Ham And Arm Picnic) Roasted,61.86,7.64,0
167879,Pork Cured Shoulder Arm Picnic Separable Lean And Fat Roasted,21.35,20.43,0
167880,Pork Cured Shoulder Arm Picnic Separable Lean Only Roasted,7.04,24.94,0
167881,Pork Fresh Variety Meats And By-Products Tail Cooked Simmered,35.8,17,0
167882,Pork Fresh Loin Center Loin (Chops) Bone-In Separable Lean Only Cooked Pan-Fried,7.66,29.56,0
